"Step","robust-puddle-9 - psnr","robust-puddle-9 - psnr__MIN","robust-puddle-9 - psnr__MAX"
"67","34.87242126464844","34.87242126464844","34.87242126464844"
"68","34.86787033081055","34.86787033081055","34.86787033081055"
"69","34.87339782714844","34.87339782714844","34.87339782714844"
"70","34.87210464477539","34.87210464477539","34.87210464477539"
"71","34.876670837402344","34.876670837402344","34.876670837402344"
"72","34.88021469116211","34.88021469116211","34.88021469116211"
"73","34.880619049072266","34.880619049072266","34.880619049072266"
"74","34.87323760986328","34.87323760986328","34.87323760986328"
"75","34.87961196899414","34.87961196899414","34.87961196899414"
"76","34.89309310913086","34.89309310913086","34.89309310913086"
"77","34.89292526245117","34.89292526245117","34.89292526245117"
"78","34.874755859375","34.874755859375","34.874755859375"
"79","34.88771438598633","34.88771438598633","34.88771438598633"
"80","34.88828659057617","34.88828659057617","34.88828659057617"
"81","34.90185546875","34.90185546875","34.90185546875"
"82","34.90234375","34.90234375","34.90234375"
"83","34.896671295166016","34.896671295166016","34.896671295166016"
"84","34.913230895996094","34.913230895996094","34.913230895996094"
"85","34.891231536865234","34.891231536865234","34.891231536865234"
"86","34.91107177734375","34.91107177734375","34.91107177734375"
"87","34.89737319946289","34.89737319946289","34.89737319946289"
"88","34.90436553955078","34.90436553955078","34.90436553955078"
"89","34.90897750854492","34.90897750854492","34.90897750854492"
"90","34.902591705322266","34.902591705322266","34.902591705322266"
"91","34.88956069946289","34.88956069946289","34.88956069946289"
"92","34.89827346801758","34.89827346801758","34.89827346801758"
"93","34.903297424316406","34.903297424316406","34.903297424316406"
"94","34.90141296386719","34.90141296386719","34.90141296386719"
"95","34.90085983276367","34.90085983276367","34.90085983276367"
"96","34.90553283691406","34.90553283691406","34.90553283691406"
"97","34.908016204833984","34.908016204833984","34.908016204833984"
"98","34.907020568847656","34.907020568847656","34.907020568847656"
"99","34.91756820678711","34.91756820678711","34.91756820678711"
"100","34.90424728393555","34.90424728393555","34.90424728393555"
"102","30.398561477661133","30.398561477661133","30.398561477661133"
"103","34.60744857788086","34.60744857788086","34.60744857788086"
"104","34.678279876708984","34.678279876708984","34.678279876708984"
"105","34.72447204589844","34.72447204589844","34.72447204589844"
"106","34.7359619140625","34.7359619140625","34.7359619140625"
"107","34.75475311279297","34.75475311279297","34.75475311279297"
"108","34.752479553222656","34.752479553222656","34.752479553222656"
"109","34.77928161621094","34.77928161621094","34.77928161621094"
"110","34.79151153564453","34.79151153564453","34.79151153564453"
"111","34.79666519165039","34.79666519165039","34.79666519165039"
